id,StuId,Class,CHI721,ENG721
58,B17,B,42.0,30.0
122,D02,D,75.0,51.0
133,D13,D,73.0,54.0
148,D29,D,76.0,54.0
165,E14,E,64.0,47.0
173,E22,E,65.0,46.0
174,E23,E,68.0,54.0
177,E26,E,53.0,26.0
179,E28,E,48.0,36.0
180,E29,E,70.0,53.0
181,E30,E,48.0,34.0
182,E31,E,76.0,56.0
192,F09,F,67.0,36.0
193,F10,F,61.0,37.0
194,F11,F,50.0,34.0
201,F18,F,58.0,53.0
203,F20,F,56.0,82.0
205,F22,F,56.0,79.0
210,F27,F,72.0,53.0
221,G08,G,63.0,53.0
226,G13,G,67.0,41.0
227,G14,G,48.0,52.0
238,G25,G,77.0,44.0
239,G26,G,35.0,76.0
242,G29,G,59.0,60.0
243,G30,G,57.0,82.0
